band1,band2,energy,zcr,activity
299228006.0,185241408.0,1427125573851736.8,0.0045500000000000002,3
385216572.0,175948818.0,1296327761872079.0,0.0038208333333333332,3
237675754.0,101024630.0,819544349771412.62,0.0052874999999999997,3
233112402.0,135329384.0,911286204239729.12,0.0038333333333333331,3
258308801.0,141412257.0,921582488555488.75,0.0039041666666666665,3
209560238.0,160993832.0,725426067061615.62,0.0021124999999999998,3
411536440.0,235807817.0,1729875358910973.0,0.0052208333333333334,3
568280472.0,301723204.0,2252188943097749.0,0.0066666666666666671,3
222887947.0,285158865.0,1146354757522710.0,0.0060124999999999996,3
154431009.0,130838850.0,819624095452199.88,0.0065041666666666668,3
772749403.0,388470366.0,4247017599522651.5,0.004454166666666667,3
546143392.0,293076388.0,2208167096633231.2,0.0057666666666666665,3
627114456.0,323069781.0,3834253892796612.0,0.0050041666666666663,3
699045992.0,377798208.0,4783149280280800.0,0.0039458333333333333,3
617270459.0,246776187.0,2681281374774928.5,0.0054333333333333334,3
463328236.0,297637818.0,1904698995999829.8,0.0051999999999999998,3
416050263.0,174357736.0,1628664732203000.8,0.0035374999999999998,3
274964482.0,224969198.0,1322205490071659.5,0.0068458333333333331,3
392485184.0,266178471.0,1794965227756344.5,0.0056916666666666669,3
298722588.0,218533626.0,1479344315057413.2,0.0063375000000000003,3
345483673.0,188660883.0,1578185639272305.5,0.006508333333333333,3
381620310.0,273243771.0,1840911796622164.2,0.0078208333333333342,3
208442270.0,181210084.0,887970589562433.38,0.0060041666666666663,3
238408066.0,193459842.0,938925615529767.62,0.0062833333333333335,3
301298454.0,236570054.0,1300088598095469.5,0.0063541666666666668,3
450471291.0,266867698.0,1993262841167072.5,0.0038291666666666665,3
389477442.0,197775526.0,1727583287413677.8,0.0060416666666666665,3
490781121.0,151105702.0,1839901966901437.8,0.0060916666666666662,3
597346212.0,254893462.0,2221887682151789.5,0.0061583333333333334,3
385584694.0,202292855.0,1696817540569715.2,0.0070375000000000004,3
559718837.0,267067362.0,2371464653366603.5,0.0059249999999999997,3
517526007.0,218681780.0,1878598217322299.8,0.0052916666666666667,3
609801091.0,269272755.0,2198445476943587.0,0.0059249999999999997,3
264252395.0,219903435.0,1294975276128740.5,0.006720833333333333,3
532397891.0,265275702.0,2123260463632978.5,0.0080874999999999992,3
556737395.0,268259032.0,2002959527033675.0,0.0074208333333333331,3
450952528.0,224239804.0,1949380115594928.8,0.0048583333333333334,3
405856300.0,263811748.0,1732253825195736.8,0.0075166666666666663,3
413387222.0,251436476.0,1844236257646297.0,0.007116666666666667,3
248563218.0,166511756.0,1138913319846377.8,0.005208333333333333,3
395346698.0,218694783.0,1761459899727660.8,0.0073833333333333338,3
373489113.0,179885776.0,1629180791787498.5,0.0081499999999999993,3
235181977.0,172649220.0,1064322804934017.9,0.0061624999999999996,3
329695995.0,196265953.0,1494942471501706.0,0.0055250000000000004,3
258685150.0,166295211.0,1193636651123634.0,0.0045875000000000004,3
355785227.0,164634805.0,1480673033392941.2,0.0064083333333333336,3
400231746.0,281017158.0,1942766851189694.0,0.0079708333333333332,3
291107087.0,266012666.0,1417020250214829.0,0.0050000000000000001,3
491960559.0,335321535.0,3319943374583260.0,0.0051500000000000001,3
420299188.0,225457572.0,1702087379960091.5,0.0068250000000000003,3
220245555.0,208435947.0,980538338982899.62,0.0073125000000000004,3
336194972.0,211019766.0,1630874404214749.2,0.0053083333333333333,3
377222553.0,167823376.0,1637884786888551.8,0.0069958333333333331,3
210475501.0,127635471.0,863531224459953.5,0.0067583333333333332,3
253721862.0,130625390.0,1092460977919395.1,0.0078583333333333335,3
253185531.0,167407871.0,1129189346510040.8,0.0048250000000000003,3
